id	image_src	name	size	type	speed	source	alignment	ac	armour_type	hp	hp_dice	strength	dexterity	constitution	intelligence	wisdom	charisma	skill	vulnerable	save	passive_perception	immune_to	condition_immune	languages	challenge_rating	senses	resistances	spells	spell_slots	traits	actions	reactions	legendary
adult_blue_dragon	adult_blue_dragon.png	Adult Blue Dragon	huge	dragon	"40 ft, burrow 30 ft, fly 80 ft"	Monster Manual	lawful evil	19		225	18d12+108	25	10	23	16	15	19	"Perception +12, Stealth +5"		"dex +5, con +11, wis +7, cha +9"	22	lightning		"common, draconic"	16	"blindsight 60 ft, darkvision 120 ft"				legendary resistance	"multiattack, bite, claw, tail, frightful presence, lightning breath"		"detect, tail attack, wing attack"
adult_brass_dragon	adult_brass_dragon.png	Adult Brass Dragon	huge	dragon	"40 ft, burrow 40 ft, fly 80 ft"	Monster Manual	chaotic good	18	natural armor	172	15d12+75	23	10	21	14	13	17	"History +7, Perception +11, Persuasion +8, Stealth +5"		"dex +5, con +10, wis +6, cha +8"	21	fire		"common, draconic"	13	"blindsight 60 ft, darkvision 120 ft"				legendary resistance	"multiattack, bite, claw, tail, frightful presence, breath weapons"		
adult_bronze_dragon	adult_bronze_dragon.png	Adult Bronze Dragon	huge	dragon	"40 ft, fly 80 ft, swim 40 ft"	Monster Manual	lawful good	19	natural armor	212	17d12+102	25	10	23	16	15	19	"Insight +7, Perception +12, Stealth +5"		"dex +5, con +11, wis +7, cha +9"	22	lightning		"common, draconic"	15	"blindsight 60 ft, darkvision 120 ft"				"amphibious, legendary resistance"	"multiattack, bite, claw, tail, frightful presence, breath weapons"		"detect, tail attack, wing attack"
adult_copper_dragon	adult_copper_dragon.png	Adult Copper Dragon	huge	dragon	"40 ft, climb 40 ft, fly 80 ft"	Monster Manual	chaotic good	18	natural armor	184	16d12+80	23	12	21	18	15	17	"Deception +8, Perception +12, Stealth +6"		"dex +6, con +10, wis +7, cha +8"	22	acid		"common, draconic"	14	"blindsight 60 ft, darkvision 120 ft"				legendary resistance	"multiattack, bite, claw, tail, frightful presence, breath weapons"		"detect, tail attack, wing attack"
adult_gold_dragon	adult_gold_dragon.png	Adult Gold Dragon	huge	dragon	"40 ft, fly 80 ft, swim 40 ft"	Monster Manual	lawful good	19	natural armor	256	19d12+133	27	14	25	16	15	24	"Insight +8, Perception +14, Persuasion +13, Stealth +8"		"dex +8, con +13, wis +8, cha +13"	24	fire		"common, draconic"	17	"blindsight 60 ft, darkvision 120 ft"				"amphibious, legendary resistance"	"multiattack, bite, claw, tail, frightful presence, breath weapons"		"detect, tail attack, wing attack"
adult_green_dragon	adult_green_dragon.png	Adult Green Dragon	huge	dragon	"40 ft, fly 80 ft, swim 40 ft"	Monster Manual	lawful evil	19	natural armor	207	18d12+90	23	12	21	18	15	17	"Deception +8, Insight +7, Perception +12, Persuasion +8, Stealth +6"		"dex +6, con +10, wis +7, cha +8"	22	poison	poisoned	"common, draconic"	15	"blindsight 60 ft, darkvision 120 ft"				"amphibious, legendary resistance"	"multiattack, bite, claw, tail, frightful presence, poison breath"		"detect, tail attack, wing attack"
adult_red_dragon	adult_red_dragon.png	Adult Red Dragon	huge	dragon	"40 ft, climb 40 ft, fly 80 ft"	Monster Manual	chaotic evil	19	natural armor	256	19d12+133	27	10	25	16	13	21	"Perception +13, Stealth +6"		"dex +6, con +13, wis +7, cha +11"	23	fire		"common, draconic"	17	"blindsight 60 ft, darkvision 120 ft"				legendary resistance	"multiattack, bite, claw, tail, frightful presence, fire breath, lair actions"		"detect, tail attack, wing attack"
adult_silver_dragon	adult_silver_dragon.png	Adult Silver Dragon	huge	dragon	"40 ft, fly 80 ft"	Monster Manual	lawful good	19	natural armor	243	18d12+126	27	10	25	16	13	21	"Arcana +8, History +8, Perception +11, Stealth +5"		"dex +5, con +12, wis +6, cha +10"	21	cold		"common, draconic"	16	"blindsight 60 ft, darkvision 120 ft"				legendary resistance	"multiattack, bite, claw, tail, frightful presence, breath weapons"		"detect, tail attack, wing attack"
adult_white_dragon	adult_white_dragon.png	Adult White Dragon	huge	dragon	"40 ft, burrow 30 ft, fly 80 ft, swim 40 ft"	Monster Manual	chaotic evil	18	natural armor	200	16d12+96	22	10	22	8	12	12	"Perception +11, Stealth +5"		"dex +5, con +11, wis +6, cha +6"	21	cold		"common, draconic"	13	"blindsight 60 ft, darkvision 120 ft"				"ice walk, legendary resistance"	"multiattack, bite, claw, tail, frightful presence, cold breath"		"detect, tail attack, wing attack"
air_elemental	air_elemental.png	Air Elemental	large	elemental	fly 90 ft	Monster Manual	neutral	15		90	12d10+24	14	20	14	6	10	6				10	poison	"exhaustion, grappled, paralyzed, petrified, poisoned, prone, restrained, unconscious"	auran	5	darkvision 60 ft	"lightning, thunder, bludgeoning, piercing,  slashing from nonmagical weapons"			air form	"multiattack, slam, whirlwind"		
allosaurus	allosaurus.png	Allosaurus	large	beast	60 ft	Monster Manual	unaligned	15	natural armor	60	6d10+18	19	13	17	2	12	5	Perception +5			15				2					pounce	"bite, claw"		
ancient_black_dragon	ancient_black_dragon.png	Ancient Black Dragon	Gargantuan	dragon	"40 ft, fly 80 ft, swim 40 ft"	Monster Manual	chaotic evil	22	natural armor	367	21d20+147	27	14	25	16	15	19	"Perception +16, Stealth +9"		"dex +9, con +14, wis +9, cha +11"	26	acid		"common, draconic"	21	"blindsight 60 ft, darkvision 120 ft"				"amphibious, legendary resistance"	"multiattack, bite, claw, tail, frightful presence, acid breath"		"detect, tail attack, wing attack"
ancient_blue_dragon	ancient_blue_dragon.png	Ancient Blue Dragon	Gargantuan	dragon	"40 ft, burrow 40 ft, fly 80 ft"	Monster Manual	lawful evil	22	natural armor	481	26d20+208	29	10	27	18	17	21	"Perception +17, Stealth +7"		"dex +7, con +15, wis +10, cha +12"	27	lightning		"common, draconic"	23	"blindsight 60 ft, darkvision 120 ft"					"multiattack, bite, claw, tail, frightful presence, lightning breath"		"detect, tail attack, wing attack"
ancient_brass_dragon	ancient_brass_dragon.png	Ancient Brass Dragon	Gargantuan	dragon	"40 ft, burrow 40 ft, fly 80 ft"	Monster Manual	chaotic good	20	natural armor	297	17d20+119	27	10	25	16	15	19	"History +9, Perception +14, Persuasion +10, Stealth +6"		"dex +6, con +13, wis +8, cha +10"	24	fire		"common, draconic"	20	"blindsight 60 ft, darkvision 120 ft"				legendary resistance	"multiattack, bite, claw, tail, frightful presence, breath weapons, change shape"		"detect, tail attack, wing attack"
ancient_bronze_dragon	ancient_bronze_dragon.png	Ancient Bronze Dragon	Gargantuan	dragon	"40 ft, fly 80 ft, swim 40 ft"	Monster Manual	lawful good	22	natural armor	444	24d20+192	29	10	27	18	17	21	"Insight +10, Perception +17, Stealth +7"		"dex +7, con +15, wis +10, cha +12"	27	lightning		"common, draconic"	22	"blindsight 60 ft, darkvision 120 ft"				"amphibious, legendary resistance"	"multiattack, bite, claw, tail, frightful presence, breath weapons, change shape"		"detect, tail attack, wing attack"
ancient_copper_dragon	ancient_copper_dragon.png	Ancient Copper Dragon	Gargantuan	dragon	"40 ft, climb 40 ft, fly 80 ft"	Monster Manual	chaotic good	21	natural armor	350	20d20+140	27	12	25	20	17	19	"Deception +11, Perception +17, Stealth +8"		"dex +8, con +14, wis +10, cha +11"	27	acid		"common, draconic"	21	"blindsight 60 ft, darkvision 120 ft"				legendary resistance	"multiattack, bite, claw, tail, frightful presence, breath weapons, change shape"		"detect, tail attack, wing attack"
ancient_gold_dragon	ancient_gold_dragon.png	Ancient Gold Dragon	Gargantuan	dragon	"40 ft, fly 80 ft, swim 40 ft"	Monster Manual	lawful good	22	natural armor	546	28d20+252	30	14	29	18	17	28	"Insight +10, Perception +17, Persuasion +16, Stealth +9"		"dex +9, con +16, wis +10, cha +16"	27	fire		"common, draconic"	24	"blindsight 60 ft, darkvision 120 ft"				"amphibious, legendary resistance"	"multiattack, bite, claw, tail, frightful presence, breath weapons, change shape"		"detect, tail attack, wing attack"
ancient_green_dragon	ancient_green_dragon.png	Ancient Green Dragon	Gargantuan	dragon	"40 ft, fly 80 ft, swim 40 ft"	Monster Manual	lawful evil	21	natural armor	385	22d20+154	27	12	25	20	17	19	"Deception +11, Insight +10, Perception +17, Persuasion +11, Stealth +8"		"dex +8, con +14, wis +10, cha +11"	27	poison	poisoned	"common, draconic"	22	"blindsight 60 ft, darkvision 120 ft"				"amphibious, legendary resistance"	"multiattack, bite, claw, tail, frightful presence, poison breath"		"detect, tail attack, wing attack"
ancient_red_dragon	ancient_red_dragon.png	Ancient Red Dragon	Gargantuan	dragon	"40 ft, climb 40 ft, fly 80 ft"	Monster Manual	chaotic evil	22	natural armor	546	28d20+252	30	10	29	18	15	23	"Perception +16, Stealth +7"		"dex +7, con +16, wis +9, cha +13"	26	fire		"common, draconic"	24	"blindsight 60 ft, darkvision 120 ft"				legendary resistance	"multiattack, bite, claw, tail, frightful presence, fire breath"		"detect, tail attack, wing attack"
ancient_silver_dragon	ancient_silver_dragon.png	Ancient Silver Dragon	Gargantuan	dragon	"40 ft, fly 80 ft"	Monster Manual	lawful good	22	natural armor	487	25d20+225	30	10	29	18	15	23	"Arcana +11, History +11, Perception +16, Stealth +7"		"dex +7, con +16, wis +9, cha +13"	26	cold		"common, draconic"	23	"blindsight 60 ft, darkvision 120 ft"				legendary resistance	"multiattack, bite, claw, tail, frightful presence, breath weapons, change shape"		"detect, tail attack, wing attack"
ancient_white_dragon	ancient_white_dragon.png	Ancient White Dragon	Gargantuan	dragon	"40 ft, burrow 40 ft, fly 80 ft, swim 40 ft"	Monster Manual	chaotic evil	20	natural armor	333	18d20+144	26	10	26	10	13	14	"Perception +13, Stealth +6"		"dex +6, con +14, wis +7, cha +8"	23	cold		"common, draconic"	20	"blindsight 60 ft, darkvision 120 ft"				"ice walk, legendary resistance"	"multiattack, bite, claw, tail, frightful presence, cold breath"		
androsphinx	androsphinx.png	Androsphinx	large	monstrosity	"40 ft, fly 60 ft"	Monster Manual	lawful neutral	17	natural armor	199	19d10+95	22	10	20	16	18	23	"Arcana +9, Perception +10, Religion +15"		"dex +6, con +11, int +9, wis +10"	20	"psychic, bludgeoning, piercing, slashing from nonmagical weapons"	"charmed, frightened"	"common, sphinx"	17	truesight 120 ft		"sacred flame, spare the dying, thaumaturgy, command, detect evil and good, detect magic, lesser restoration, zone of truth, dispel magic, tongues, banishment, freedom of movement, flame strike, greater restoration, heroes' feast"	"4,3,3,3,2,1,0,0,0"	"inscrutable, magic weapons, spellcasting"	"multiattack, claw, roar"		"claw attack, teleport, cast a spell"
animated_armor	animated_armor.png	Animated Armor	medium	construct	25 ft	Monster Manual	unaligned	18	natural armor	33	6d8+6	14	11	13	1	3	1				6	"poison, psychic"	"blinded, charmed, deafened, exhaustion, frightened, paralyzed, petrified, poisoned"		1	blindsight 60 ft (blind beyond this radius)				"antimagic susceptibility, false appearance"	"multiattack, slam"		
ankheg	ankheg.png	Ankheg	large	monstrosity	"30 ft, burrow 10 ft"	Monster Manual	unaligned	14	"natural armor, 11 while prone"	39	6d10+6	17	11	13	1	13	6				11				2	"darkvision 60 ft, tremorsense 60 ft"					"bite, acid spray"		
ankylosaurus	ankylosaurus.png	Ankylosaurus	huge	beast	30 ft	Monster Manual	unaligned	15	natural armor	68	8d12+16	19	11	15	2	12	5				11				3						tail		
ape	ape.png	Ape	medium	beast	"30 ft, climb 30 ft"	Monster Manual	unaligned	12		19	3d8+6	16	14	14	6	12	7	"Athletics +5, Perception +3"			13				0.5						"multiattack, fist, rock"		
arcanaloth	arcanaloth.png	Arcanaloth	medium	"fiend, yugoloth"	"30 ft, fly 30 ft"	Monster Manual	neutral evil	17	natural armor	104	16d8+32	17	12	14	20	16	17	"Arcana +13, Deception +9, Insight +9, Perception +7"		"dex +5, int +9, wis +7, cha +7"	17	"acid, poison"	"charmed, poisoned"	"all, telepathy 120 ft"	12	truesight 120 ft	"cold, fire, lightning, bludgeoning, piercing,  slashing from nonmagical weapons"	"alter self, darkness, heat metal, invisibility, magic missile, fire bolt, mage hand, minor illusion, prestidigitation, detect magic, identify, shield, Tenser's floating disk, detect thoughts, mirror image, phantasmal force, suggestion, counterspell, fear, fireball, banishment, dimension door, contact other plane, hold monster, chain lightning, finger of death, mind blank"	"4,3,3,3,2,1,1,1,0"	"innate spellcasting, magic resistance, magic weapons, spellcasting"	"claws, teleport, variant: summon yugoloth"		
archmage	archmage.png	Archmage	medium	"humanoid, any race"	30 ft	Monster Manual	any alignment	12		99	18d8+18	10	14	12	20	15	16	"Arcana +13, History +13"		"int +9, wis +6"	12			any six languages	12		"damage from spells, non magical bludgeoning, piercing,  slashing (from stoneskin)"	"fire bolt, light, mage hand, prestidigitation, shocking grasp, detect magic, identify, mage armor, magic missile, detect thoughts, mirror image, misty step, counterspell, fly, lightning bolt, banishment, fire shield, stoneskin, cone of cold, scrying, wall of force, globe of invulnerability, teleport, mind blank, time stop"	"4,3,3,3,3,1,1,1,1"	"magic resistance, spellcasting"	dagger		
assassin	assassin.png	Assassin	medium	"humanoid, any race"	30 ft	Monster Manual	any non-good alignment	15	studded leather	78	12d8+24	11	16	14	13	11	10	"Acrobatics +6, Deception +3, Perception +3, Stealth +9"		"dex +6, int +4"	13			thieves' cant plus any two languages	8		poison			"assassinate, evasion, sneak attack"	"multiattack, shortsword, light crossbow"		
avatar_of_death	avatar_of_death.png	Avatar of Death	medium	undead	"60 ft, fly 60 ft"	Monster Manual	neutral evil	20		0		16	16	16	16	16	16				13	"necrotic, poison"	"charmed, frightened, paralyzed, petrified, poisoned , unconscious"	all languages known to its summoner	0	"darkvision 60 ft, truesight 60 ft"				"incorporeal movement, turning immunity, hit points"	reaping scythe		
awakened_shrub	awakened_shrub.png	Awakened Shrub	small	plant	20 ft	Monster Manual	unaligned	9		10	3d6	3	8	11	10	10	6		fire		10			one language known by its creator	0		piercing			false appearance	rake		
awakened_tree	awakened_tree.png	Awakened Tree	huge	plant	20 ft	Monster Manual	unaligned	13	natural armor	59	7d12+14	19	6	15	10	10	7		fire		10			one language known by its creator	2		"bludgeoning, piercing"			false appearance	slam		
axe_beak	axe_beak.png	Axe Beak	large	beast	50 ft	Monster Manual	unaligned	11		19	3d10+3	14	12	12	2	10	5				10				0.25						beak		
azer	azer.png	Azer	medium	elemental	30 ft	Monster Manual	lawful neutral	17	"natural armor, shield"	39	6d8+12	17	12	15	12	13	10			con +4	11	"fire, poison"	poisoned	ignan	2					"heated body, heated weapons, illumination"	warhammer		
baboon	baboon.png	Baboon	small	beast	"30 ft, climb 30 ft"	Monster Manual	unaligned	12		3	1d6	8	14	11	4	12	6				11				0					pack tactics	bite		
badger	badger.png	Badger	tiny	beast	"20 ft, burrow 5 ft"	Monster Manual	unaligned	10		3	1d4+1	4	11	12	2	12	5				11				0	darkvision 30 ft				keen smell	bite		
balor	balor.png	Balor	huge	"fiend, demon"	"40 ft, fly 80 ft"	Monster Manual	chaotic evil	19	natural armor	262	21d12+126	26	15	22	20	16	22			"str +14, con +12, wis +9, cha +12"	13	"fire, poison"	poisoned	"abyssal, telepathy 120 ft"	19	truesight 120 ft	"cold, lightning, bludgeoning, piercing,  slashing from nonmagical weapons"			"death throes, fire aura, magic resistance, magic weapons"	"multiattack, longsword, whip, teleport, variant: summon demon"		
bandit	bandit.png	Bandit	medium	"humanoid, any race"	30 ft	Monster Manual	any non-lawful alignment	12	leather armor	11	2d8+2	11	12	12	10	10	10				10			any one language (usually common)	0.125						"scimitar, light crossbow"		
bandit_captain	bandit_captain.png	Bandit Captain	medium	"humanoid, any race"	30 ft	Monster Manual	any non-lawful alignment	15	studded leather	65	10d8+20	15	16	14	14	11	14	"Athletics +4, Deception +4"		"str +4, dex +5, wis +2"	10			any two languages	2						"multiattack, scimitar, dagger"	parry	
banshee	banshee.png	Banshee	medium	undead	"0 ft, fly 40 ft"	Monster Manual	chaotic evil	12		58	13d8	1	14	10	12	11	17			"wis +2, cha +5"	10	"cold, necrotic, poison"	"charmed, exhaustion, frightened, grappled, paralyzed, petrified, poisoned, prone, restrained"	"common, elvish"	4	darkvision 60 ft	"acid, fire, lightning, thunder, bludgeoning, piercing,  slashing from nonmagical weapons"			"detect life, incorporeal movement"	"corrupting touch, horrifying visage, wail"		
barbed_devil	barbed_devil.png	Barbed Devil	medium	"fiend, devil"	30 ft	Monster Manual	lawful evil	15	natural armor	110	13d8+52	16	17	18	12	14	14	"Deception +5, Insight +5, Perception +8"		"str +6, con +7, wis +5, cha +5"	18	"fire, poison"	poisoned	"infernal, telepathy 120 ft"	5	darkvision 120 ft	"cold, bludgeoning, piercing,  slashing from nonmagical weapons that aren't silvered"			"barbed hide, devil's sight, magic resistance"	"multiattack, claw, tail, hurl flame"		
barlgura	barlgura.png	Barlgura	large	"fiend, demon"	"40 ft, climb 40 ft"	Monster Manual	chaotic evil	15	natural armor	68	8d10+24	18	15	16	7	14	9	"Perception +5, Stealth +5"		"dex +5, con +6"	15	poison	poisoned	"abyssal, telepathy 120 ft"	5	"blindsight 30 ft, darkvision 120 ft"	"cold, fire, lightning"	"entangle, phantasmal force, disguise self, invisibility"		"innate spellcasting, reckless, running leap"	"multiattack, bite, fist, variant: summon demon"		
basilisk	basilisk.png	Basilisk	medium	monstrosity	20 ft	Monster Manual	unaligned	12	natural armor	52	8d8+16	16	8	15	2	8	7				9				3	darkvision 60 ft				petrifying gaze	bite		
bat	bat.png	Bat	tiny	beast	"5 ft, fly 30 ft"	Monster Manual	unaligned	12		1	1d4-1	2	15	8	2	12	4				11				0	blindsight 60 ft				"echolocation, keen hearing"	bite		
bearded_devil	bearded_devil.png	Bearded Devil	medium	"fiend, devil"	30 ft	Monster Manual	lawful evil	13	natural armor	52	8d8+16	16	15	15	9	11	11			"str +5, con +4, wis +2"	10	"fire, poison"	poisoned	"infernal, telepathy 120 ft"	3	darkvision 120 ft	"cold, bludgeoning, piercing,  slashing from nonmagical weapons that aren't silvered"			"devil's sight, magic resistance, steadfast"	"multiattack, beard, glaive"		
behir	behir.png	Behir	huge	monstrosity	"50 ft, climb 40 ft"	Monster Manual	neutral evil	17	natural armor	168	16d12+64	23	16	18	7	14	12	"Perception +6, Stealth +7"			16	lightning		draconic	11	darkvision 90 ft					"multiattack, bite, constrict, lightning breath, swallow"		
beholder	beholder.png	Beholder	large	aberration	"0 ft, fly 20 ft"	Monster Manual	lawful evil	18	natural armor	189	19d10+76	10	14	18	17	15	17	Perception +12		"int +8, wis +7, cha +8"	22		prone	"deep speech, undercommon"	13	darkvision 120 ft				antimagic cone	"bite, eye rays"		eye ray
beholder_zombie	beholder_zombie.png	Beholder Zombie	large	undead	"0 ft, fly 20 ft"	Monster Manual	neutral evil	15	natural armor	93	11d10+33	10	8	16	3	8	5			wis +2	9	poison	"poisoned, prone"	"understands deep speech and undercommon, can't speak"	5	darkvision 60 ft				undead fortitude	"bite, eye ray"		
berserker	berserker.png	Berserker	medium	"humanoid, any race"	30 ft	Monster Manual	any chaotic alignment	13	hide armor	67	9d8+27	16	12	17	9	11	9				10			any one language (usually common)	2					reckless	greataxe		
black_bear	black_bear.png	Black Bear	medium	beast	"40 ft, climb 30 ft"	Monster Manual	unaligned	11	natural armor	19	3d8+6	15	10	14	2	12	7				13				0.5					keen smell	"multiattack, bite, claws"		
black_dragon_wyrmling	black_dragon_wyrmling.png	Black Dragon Wyrmling	medium	dragon	"30 ft, fly 60 ft, swim 30 ft"	Monster Manual	chaotic evil	17	natural armor	33	6d8+6	15	14	13	10	11	13	"Perception +4, Stealth +4"		"dex +4, con +3, wis +2, cha +3"	14	acid		draconic	2	"blindsight 10 ft, darkvision 60 ft"				amphibious	"bite, acid breath"		
black_pudding	black_pudding.png	Black Pudding	large	ooze	"20 ft, climb 20 ft"	Monster Manual	unaligned	7		85	10d10+30	16	5	16	1	6	1				8	"acid, cold, lightning, slashing"	"blinded, charmed, deafened, exhaustion, frightened, prone"		4	blindsight 60 ft (blind beyond this radius)				"amorphous, corrosive form, spider climb"	pseudopod	split	
blink_dog	blink_dog.png	Blink Dog	medium	fey	40 ft	Monster Manual	lawful good	13		22	4d8+4	12	17	12	10	13	11	"Perception +3, Stealth +5"			10			"blink dog, understands sylvan, can't speak it"	0.25					keen hearing and smell	"bite, teleport"		
blood_hawk	blood_hawk.png	Blood Hawk	small	beast	"10 ft, fly 60 ft"	Monster Manual	unaligned	12		7	2d6	6	14	10	3	14	5	Perception +4			14				0.125					"keen sight, pack tactics"	beak		
blue_dragon_wyrmling	blue_dragon_wyrmling.png	Blue Dragon Wyrmling	medium	dragon	"30 ft, burrow 15 ft, fly 60 ft"	Monster Manual	lawful evil	17	natural armor	52	8d8+16	17	10	15	12	11	15	"Perception +4, Stealth +2"		"dex +2, con +4, wis +2, cha +4"	14	lightning		draconic	3	"blindsight 10 ft, darkvision 60 ft"					"bite, lightning breath"		
blue_slaad	blue_slaad.png	Blue Slaad	large	aberration	30 ft	Monster Manual	chaotic neutral	15	natural armor	123	13d10+52	20	15	18	7	7	9	Perception +1			11			"slaad, telepathy 60 ft"	7	darkvision 60 ft	"acid, cold, fire, lightning, thunder"			"magic resistance, regeneration, variant: control gem"	"multiattack, bite, claw"		
boar	boar.png	Boar	medium	beast	40 ft	Monster Manual	unaligned	11	natural armor	11	2d8+2	13	11	12	2	9	5				9				0.25					"charge, relentless"	tusk		
